Movie Title,Year of Realease,Genre,Movie Rating,Duration,Gross,Worldwide LT Gross,Metascore,Votes,Logline
Incredibles 2,2018,"Animation,Action,Adventure",7.6,118,$608.58M,"$1,243,089,244",80,"295,100",The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.
The Fate of the Furious,2017,"Action,Crime,Thriller",6.6,136,$226.01M,"$1,236,005,118",56,"231,745","When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before."
Iron Man Three,2013,"Action,Adventure,Sci-Fi",7.1,130,$409.01M,"$1,214,811,252",62,"844,284","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
Minions,2015,"Animation,Adventure,Comedy",6.4,91,$336.05M,"$1,159,444,662",56,"238,820","Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world."
Captain America: Civil War,2016,"Action,Adventure,Sci-Fi",7.8,147,$408.08M,"$1,153,337,496",75,"779,525",Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
Aquaman,2018,"Action,Adventure,Fantasy",6.8,143,$335.06M,"$1,148,528,393",55,"469,031","Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land."
The Lord of the Rings: The Return of the King,2003,"Action,Adventure,Drama",9.0,201,$377.85M,"$1,146,436,214",94,"1,826,650",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Spider-Man: Far from Home,2019,"Action,Adventure,Sci-Fi",7.4,129,$390.53M,"$1,131,927,996",69,"485,051","Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever."
Captain Marvel,2019,"Action,Adventure,Sci-Fi",6.8,123,$426.83M,"$1,128,462,972",64,"554,645",Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.
Transformers: Dark of the Moon,2011,"Action,Adventure,Sci-Fi",6.2,154,$352.39M,"$1,123,794,079",42,"408,412","The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets."
Skyfall,2012,"Action,Adventure,Thriller",7.8,143,$304.36M,"$1,108,569,499",81,"694,633","James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
Transformers: Age of Extinction,2014,"Action,Adventure,Sci-Fi",5.6,165,$245.44M,"$1,104,054,072",32,"314,154","When humanity allies with a bounty hunter in pursuit of Optimus Prime, the Autobots turn to a mechanic and his family for help."
Jurassic Park,1993,"Action,Adventure,Sci-Fi",8.2,127,$402.45M,"$1,099,699,003",68,"980,979",A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
The Dark Knight Rises,2012,"Action,Drama",8.4,164,$448.14M,"$1,081,153,097",78,"1,689,199","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Selina Kyle, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
Joker,2019,"Crime,Drama,Thriller",8.4,122,$335.45M,"$1,074,445,730",59,"1,252,541",A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.
Star Wars: Episode IX - The Rise of Skywalker,2019,"Action,Adventure,Fantasy",6.5,141,$515.20M,"$1,074,149,279",53,"446,565","In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come."
Toy Story 4,2019,"Animation,Adventure,Comedy",7.7,100,$434.04M,"$1,073,394,593",84,"248,612","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
Toy Story 3,2010,"Animation,Adventure,Comedy",8.3,103,$415.00M,"$1,066,970,811",92,"830,727","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
Pirates of the Caribbean: Dead Man's Chest,2006,"Action,Adventure,Fantasy",7.3,151,$423.32M,"$1,066,179,747",53,"716,144","Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."
The Lion King,1994,"Animation,Adventure,Drama",8.5,88,$422.78M,"$1,063,611,805",88,"1,048,260","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
Rogue One,2016,"Action,Adventure,Sci-Fi",7.8,133,$532.18M,"$1,057,420,387",65,"628,840","In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction."
Aladdin,2019,"Adventure,Comedy,Family",6.9,128,$355.56M,"$1,050,693,953",53,"264,450",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
Pirates of the Caribbean: On Stranger Tides,2011,"Action,Adventure,Fantasy",6.6,137,$241.06M,"$1,045,713,802",45,"526,578","Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too."
Despicable Me 3,2017,"Animation,Adventure,Comedy",6.2,89,$264.62M,"$1,034,800,131",49,"135,707","Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist."
Finding Dory,2016,"Animation,Adventure,Comedy",7.3,97,$486.30M,"$1,028,570,942",77,"275,251",Friendly but forgetful blue tang Dory begins a search for her long-lost parents and everyone learns a few things about the real meaning of family along the way.
Star Wars: Episode I - The Phantom Menace,1999,"Action,Adventure,Fantasy",6.5,136,$474.54M,"$1,027,082,707",51,"801,077","Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory."
Alice in Wonderland,2010,"Adventure,Family,Fantasy",6.4,108,$334.19M,"$1,025,468,216",53,"414,116","Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror."
Zootopia,2016,"Animation,Adventure,Comedy",8.0,108,$341.27M,"$1,024,121,104",78,"494,843","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
Harry Potter and the Sorcerer's Stone,2001,"Adventure,Family,Fantasy",7.6,152,$317.58M,"$1,022,290,019",65,"770,196","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
The Hobbit: An Unexpected Journey,2012,"Adventure,Fantasy",7.8,169,$303.00M,"$1,017,030,651",58,"823,402","A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
The Dark Knight,2008,"Action,Crime,Drama",9.0,152,$534.86M,"$1,006,102,277",84,"2,622,926","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
Jurassic World Dominion,2022,"Action,Adventure,Sci-Fi",5.7,147,******,"$994,677,000",38,"141,776","Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects."
Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure,Family,Fantasy",7.7,146,$295.98M,"$977,070,383",65,"544,179","As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows."
Despicable Me 2,2013,"Animation,Adventure,Comedy",7.3,98,$368.06M,"$970,766,005",62,"400,030","When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness."
The Jungle Book,2016,"Adventure,Drama,Family",7.4,106,$364.00M,"$966,554,929",77,"277,311","After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo."
Jumanji: Welcome to the Jungle,2017,"Action,Adventure,Comedy",6.9,119,$404.52M,"$962,542,945",58,"377,561","Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game."
The Hobbit: The Battle of the Five Armies,2014,"Adventure,Fantasy",7.4,144,$255.12M,"$962,201,338",59,"529,711",Bilbo and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.
Pirates of the Caribbean: At World's End,2007,"Action,Adventure,Fantasy",7.1,169,$309.42M,"$960,996,492",50,"649,327","Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle."
The Hobbit: The Desolation of Smaug,2013,"Adventure,Fantasy",7.8,161,$258.37M,"$959,027,992",66,"659,955","The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
Doctor Strange in the Multiverse of Madness,2022,"Action,Adventure,Fantasy",7.0,126,******,"$955,152,198",60,"393,525","Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others."
The Lord of the Rings: The Two Towers,2002,"Action,Adventure,Drama",8.8,179,$342.55M,"$947,896,241",87,"1,649,383","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
Harry Potter and the Order of the Phoenix,2007,"Action,Adventure,Family",7.5,138,$292.00M,"$942,201,710",71,"576,897","With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts."
Finding Nemo,2003,"Animation,Adventure,Comedy",8.2,100,$380.84M,"$940,352,645",90,"1,036,553","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
Harry Potter and the Half-Blood Prince,2009,"Action,Adventure,Family",7.6,153,$301.96M,"$934,483,039",78,"540,537","As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past."
Shrek 2,2004,"Animation,Adventure,Comedy",7.3,93,$436.47M,"$928,760,770",75,"461,112","Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be."
Bohemian Rhapsody,2018,"Biography,Drama,Music",7.9,134,$216.43M,"$910,809,311",49,"534,276","The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985)."
Chang jin hu,2021,"Action,Drama,History",5.4,176,$0.34M,"$902,545,034",******,"3,046","Set in the Second Phase Offensive of the Korean War, ""The Battle at Lake Changjin"" tells an epic historical tale: 71 years ago, the People's Volunteer Army (PVA) entered North Korea for ...                See full summary »"
The Lord of the Rings: The Fellowship of the Ring,2001,"Action,Adventure,Drama",8.8,178,$315.54M,"$898,094,742",92,"1,853,771",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Harry Potter and the Goblet of Fire,2005,"Adventure,Family,Fantasy",7.7,157,$290.01M,"$896,730,264",81,"621,111","Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares."
Spider-Man 3,2007,"Action,Adventure,Sci-Fi",6.3,139,$336.53M,"$894,983,373",59,"587,489","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge."
Minions: The Rise of Gru,2022,"Animation,Adventure,Comedy",6.6,87,******,"$890,966,065",56,"57,702",The untold story of one twelve-year-old's dream to become the world's greatest supervillain.
Ice Age: Dawn of the Dinosaurs,2009,"Animation,Adventure,Comedy",6.9,94,$196.57M,"$886,686,817",50,"245,386","When Sid's attempt to adopt three dinosaur eggs gets him abducted by their real mother to an underground lost world, his friends attempt to rescue him."
Spectre,2015,"Action,Adventure,Thriller",6.8,148,$200.07M,"$880,681,519",60,"439,299","A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions."
Spider-Man: Homecoming,2017,"Action,Adventure,Sci-Fi",7.4,133,$334.20M,"$880,166,924",73,"649,821","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City."
Harry Potter and the Chamber of Secrets,2002,"Adventure,Family,Fantasy",7.4,161,$261.99M,"$879,928,511",63,"629,277",An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.
Ice Age: Continental Drift,2012,"Animation,Adventure,Comedy",6.5,88,$161.32M,"$877,244,782",49,"209,391","Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world."
The Secret Life of Pets,2016,"Animation,Adventure,Comedy",6.5,87,$368.38M,"$875,458,631",61,"202,342","The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."
Batman v Superman: Dawn of Justice,2016,"Action,Adventure,Sci-Fi",6.4,152,$330.36M,"$873,637,528",44,"695,862","Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs."
Zhan lang II,2017,"Action,Adventure,Drama",5.9,123,$2.72M,"$870,325,439",44,"8,132","China's deadliest special forces operative settles into a quiet life on the sea. When sadistic mercenaries begin targeting nearby civilians, he must leave his newfound peace behind and return to his duties as a soldier and protector."
Star Wars: Episode III - Revenge of the Sith,2005,"Action,Adventure,Fantasy",7.6,140,$380.26M,"$868,390,560",68,"786,549","Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy."
The Hunger Games: Catching Fire,2013,"Action,Adventure,Sci-Fi",7.5,146,$424.67M,"$865,011,746",76,"662,070",Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.
Guardians of the Galaxy Vol. 2,2017,"Action,Adventure,Comedy",7.6,136,$389.81M,"$863,756,051",67,"673,752","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego."
Inside Out,2015,"Animation,Adventure,Comedy",8.2,95,$356.46M,"$858,848,019",94,"706,883","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
Venom,2018,"Action,Adventure,Sci-Fi",6.6,112,$213.52M,"$856,085,151",35,"480,550","A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it."
Thor: Ragnarok,2017,"Action,Adventure,Comedy",7.9,130,$315.06M,"$853,983,879",74,"742,843","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
Inception,2010,"Action,Adventure,Sci-Fi",8.8,148,$292.58M,"$836,848,102",74,"2,324,716","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
Transformers: Revenge of the Fallen,2009,"Action,Adventure,Sci-Fi",5.9,149,$402.11M,"$836,303,693",35,"406,957","Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war."
The Twilight Saga: Breaking Dawn - Part 2,2012,"Adventure,Drama,Fantasy",5.5,115,$292.30M,"$829,747,654",52,"249,122","After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi."
Spider-Man,2002,"Action,Adventure,Sci-Fi",7.4,121,$403.71M,"$825,025,036",73,"811,999","After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy."
Wonder Woman,2017,"Action,Adventure,Fantasy",7.4,141,$412.56M,"$822,854,286",76,"653,072","When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny."
"Ni hao, Li Huanying",2021,"Comedy,Romance",7.0,128,******,"$822,009,764",******,"2,163",A woman travels back in time to befriend her own mother in an attempt to make her life better.
Independence Day,1996,"Action,Adventure,Sci-Fi",7.0,145,$306.17M,"$817,400,891",59,"574,288","The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive."
Fantastic Beasts and Where to Find Them,2016,"Adventure,Family,Fantasy",7.2,132,$234.04M,"$814,044,001",66,"473,418",The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.
Shrek the Third,2007,"Animation,Adventure,Comedy",6.1,93,$320.71M,"$813,367,380",58,"306,508","Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming."
Coco,2017,"Animation,Adventure,Comedy",8.4,105,$209.73M,"$807,817,888",81,"498,683","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
Jumanji: The Next Level,2019,"Action,Adventure,Comedy",6.7,123,$316.83M,"$800,059,707",58,"248,177","In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game."
Harry Potter and the Prisoner of Azkaban,2004,"Adventure,Family,Fantasy",7.9,142,$249.36M,"$797,568,607",82,"628,520","Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard."
Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Action,Adventure,Fantasy",6.5,129,$172.56M,"$794,881,442",39,"310,294",Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.
E.T. the Extra-Terrestrial,1982,"Adventure,Family,Sci-Fi",7.9,115,$435.11M,"$792,910,554",91,"407,536",A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.
Mission: Impossible - Fallout,2018,"Action,Adventure,Thriller",7.7,147,$220.16M,"$791,657,398",86,"331,232","Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong."
2012,2009,"Action,Adventure,Sci-Fi",5.8,158,$166.11M,"$791,217,826",49,"377,606",A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.
Indiana Jones and the Kingdom of the Crystal Skull,2008,"Action,Adventure",6.2,122,$317.10M,"$790,653,942",65,"453,532","In 1957, archaeologist and adventurer Dr. Henry ""Indiana"" Jones, Jr. is called back into action and becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls."
Spider-Man 2,2004,"Action,Adventure,Sci-Fi",7.4,127,$373.59M,"$788,976,453",83,"648,995",Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.
Furious 6,2013,"Action,Adventure,Crime",7.0,130,$238.68M,"$788,680,968",61,"394,307","Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty."
Deadpool 2,2018,"Action,Adventure,Comedy",7.7,119,$324.59M,"$785,896,609",66,"575,147","Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable."
Deadpool,2016,"Action,Adventure,Comedy",8.0,108,$363.07M,"$782,836,791",65,"1,026,159","A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."
Star Wars,1977,"Action,Adventure,Fantasy",8.6,121,$322.74M,"$775,398,007",90,"1,353,518","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
No Time to Die,2021,"Action,Adventure,Thriller",7.3,163,$160.87M,"$774,153,007",68,"392,253","James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology."
Guardians of the Galaxy,2014,"Action,Adventure,Comedy",8.0,121,$333.18M,"$773,350,147",76,"1,167,695",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
The Batman,2022,"Action,Crime,Drama",7.9,176,******,"$770,836,163",72,"608,067","When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
The Da Vinci Code,2006,"Mystery,Thriller",6.6,149,$217.54M,"$760,006,945",46,"432,328","A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity."
Fast & Furious Presents: Hobbs & Shaw,2019,"Action,Adventure,Thriller",6.5,137,$173.96M,"$759,056,935",60,"211,651","Lawman Luke Hobbs (Dwayne ""The Rock"" Johnson) and outcast Deckard Shaw (Jason Statham) form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity."
Maleficent,2014,"Adventure,Family,Fantasy",6.9,97,$241.41M,"$758,411,779",56,"374,967","A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land."
The Amazing Spider-Man,2012,"Action,Adventure,Sci-Fi",6.9,136,$262.03M,"$757,930,663",66,"653,109","After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe."
The Hunger Games: Mockingjay - Part 1,2014,"Action,Adventure,Sci-Fi",6.6,123,$337.14M,"$755,356,711",64,"453,870","Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage."
Shrek Forever After,2010,"Animation,Adventure,Comedy",6.3,93,$238.37M,"$752,600,867",58,"204,809",Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.
Thor: Love and Thunder,2022,"Action,Adventure,Comedy",6.4,118,******,"$750,858,321",57,"286,145","Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct."
Madagascar 3: Europe's Most Wanted,2012,"Animation,Adventure,Comedy",6.8,95,$216.39M,"$746,921,274",60,"181,744","The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal-control officer."
